pr_id,agent,repo_full_name,total_mutants,killed,survived,timeout_mutants,no_coverage,msi_global,msi_by_operator,status,error_msg,duration_seconds,mutation_tool_used
3158819982,GitHub Copilot,microsoft/autogen,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3160615563,GitHub Copilot,onnx/onnx,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3120603357,GitHub Copilot,mlflow/mlflow,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3140666398,GitHub Copilot,mlflow/mlflow,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3199905484,GitHub Copilot,microsoft/autogen,,,,,,,{},no_module,nenhum módulo Python encontrado,0.0,cosmic-ray
3222565138,GitHub Copilot,microsoft/autogen,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3222599276,GitHub Copilot,microsoft/autogen,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3078782339,GitHub Copilot,microsoft/graphrag,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3082820826,GitHub Copilot,mlflow/mlflow,,,,,,,{},venv_error,venv: timeout após 60s,0.0,cosmic-ray
3261572196,GitHub Copilot,mlflow/mlflow,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3205453833,GitHub Copilot,DeepLabCut/DeepLabCut,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3205514535,GitHub Copilot,DeepLabCut/DeepLabCut,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3176132312,GitHub Copilot,microsoft/AzureTRE,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3103634798,GitHub Copilot,microsoft/graphrag,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3272051898,GitHub Copilot,mlflow/mlflow,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3197765608,GitHub Copilot,mlflow/mlflow,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3130674794,OpenAI Codex,MontrealAI/AGI-Alpha-Agent-v0,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3104722794,OpenAI Codex,MontrealAI/AGI-Alpha-Agent-v0,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3088712634,OpenAI Codex,MontrealAI/AGI-Alpha-Agent-v0,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3172804311,OpenAI Codex,featureform/enrichmcp,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3091362888,OpenAI Codex,DannyMac180/meta-agent,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3151690104,OpenAI Codex,MontrealAI/AGI-Alpha-Agent-v0,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3157601804,OpenAI Codex,MontrealAI/AGI-Alpha-Agent-v0,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3081511725,OpenAI Codex,MontrealAI/AGI-Alpha-Agent-v0,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3161611059,OpenAI Codex,MontrealAI/AGI-Alpha-Agent-v0,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3093837900,OpenAI Codex,MontrealAI/AGI-Alpha-Agent-v0,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3108176847,OpenAI Codex,MontrealAI/AGI-Alpha-Agent-v0,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3154296178,OpenAI Codex,MontrealAI/AGI-Alpha-Agent-v0,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3105898882,OpenAI Codex,MontrealAI/AGI-Alpha-Agent-v0,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
3234785818,OpenAI Codex,python-cachier/cachier,,,,,,,{},cr_init_error,[WinError 2] O sistema não pode encontrar o arquivo especificado,0.0,cosmic-ray
